,Dataset,Method,Level,Avg. MSE,Std. MSE
0,AustraliaTourism,TimeWeaver,C,0.295252092207593,0.0400936160706449
1,AustraliaTourism,TSDiff-0,C,1.469385934197759,0.001531842568434515
2,AustraliaTourism,TSDiff-0.5,C,1.2229594924880156,0.007247673421440799
3,AustraliaTourism,TSDiff-1.0,C,1.1742752122309796,0.0022376443862720456
4,AustraliaTourism,TSDiff-2.0,C,1.0621958468368649,0.021654819797850916
5,AustraliaTourism,Pipe-1,C,0.17326213753184017,0.006781655183609731
6,AustraliaTourism,Pipe-8,C,0.16664331922704712,0.011885525356363367
7,AustraliaTourism,Pipe-16,C,0.1907939808703341,0.015828738183563666
8,AustraliaTourism,Pipe-32,C,0.3036578434105309,0.062333080999562036
9,AustraliaTourism,TimeWeaver,M,1.1546304618425323,0.3348268777481505
10,AustraliaTourism,TSDiff-0,M,1.963504908256354,0.019694725343372344
11,AustraliaTourism,TSDiff-0.5,M,1.4804691333038016,0.003287744354675763
12,AustraliaTourism,TSDiff-1.0,M,1.395264828706234,0.020344204773670035
13,AustraliaTourism,TSDiff-2.0,M,1.9321446795472865,0.0015303843695734533
14,AustraliaTourism,Pipe-1,M,0.2990259764813876,0.01666303325999366
15,AustraliaTourism,Pipe-8,M,0.2779839015885989,0.046235186322277355
16,AustraliaTourism,Pipe-16,M,0.4035373037387947,0.09398390134397339
17,AustraliaTourism,Pipe-32,M,0.7168657055682937,0.1469429439112019
18,AustraliaTourism,TimeWeaver,F,2.2530270194912627,0.00581236280293371
19,AustraliaTourism,TSDiff-0,F,1.3310764788815206,0.011965371912463848
20,AustraliaTourism,TSDiff-0.5,F,1.566666791853263,0.031906050774036465
21,AustraliaTourism,TSDiff-1.0,F,1.4456931516587954,0.007324455955358211
22,AustraliaTourism,TSDiff-2.0,F,1.6094376171145683,0.0040442741146385726
23,AustraliaTourism,Pipe-1,F,0.19295622632094198,0.006774889706073787
24,AustraliaTourism,Pipe-8,F,0.1526935259970505,0.0071514556945266785
25,AustraliaTourism,Pipe-16,F,0.15389444793246687,0.0014510323261341114
26,AustraliaTourism,Pipe-32,F,0.23115226415641507,0.0515964130205465
27,MetroTraffic,TimeWeaver,C,0.5334226121310366,0.01838602015074113
28,MetroTraffic,TSDiff-0,C,1.0264958137504419,0.011029107409108398
29,MetroTraffic,TSDiff-0.5,C,0.963605911490421,0.009035981872715367
30,MetroTraffic,TSDiff-1.0,C,0.8799835235472091,0.014390685006358674
31,MetroTraffic,TSDiff-2.0,C,1.0174049777651053,0.006709683536878404
32,MetroTraffic,Pipe-1,C,0.4691117687344721,0.009927025618006458
33,MetroTraffic,Pipe-8,C,0.5056778923035259,0.009310188440907963
34,MetroTraffic,Pipe-16,C,0.5061746822607336,0.011201265341688495
35,MetroTraffic,Pipe-32,C,0.5471785945602516,0.01562606109383269
36,MetroTraffic,TimeWeaver,M,0.6027560880442063,0.0747641479397941
37,MetroTraffic,TSDiff-0,M,0.5729870594032145,0.03550740748045969
38,MetroTraffic,TSDiff-0.5,M,0.7676353395727448,0.026916687632114793
39,MetroTraffic,TSDiff-1.0,M,0.8463353590975551,0.07337524124888906
40,MetroTraffic,TSDiff-2.0,M,0.8094420590822053,0.04131532937927336
41,MetroTraffic,Pipe-1,M,0.3583589881424663,0.05844715102304144
42,MetroTraffic,Pipe-8,M,0.4387360946235189,0.03668620265447179
43,MetroTraffic,Pipe-16,M,0.43074391713564586,0.05427842768159889
44,MetroTraffic,Pipe-32,M,0.435933380349023,0.03322056800152321
45,MetroTraffic,TimeWeaver,F,0.8735465761929284,0.04235446201788067
46,MetroTraffic,TSDiff-0,F,0.21531638860923663,0.008217724445432973
47,MetroTraffic,TSDiff-0.5,F,0.20015427924399862,0.009992767091904737
